"","LIBELLE_ARRET"
"201","PORTE DE CLICHY"
"202","PORTE DE CLIGNANCOURT"
"203","PORTE DE LA CHAPELLE"
"204","PORTE DE LA VILLETTE"
"205","PORTE DE MONTREUIL"
"206","PORTE DE PANTIN"
"207","PORTE DE SAINT-CLOUD"
"208","PORTE DE SAINT-OUEN"
"209","PORTE DES LILAS"
"210","PORTE DE VANVES"
"211","PORTE DE VERSAILLES"
"212","PORTE DE VINCENNES"
"213","PORTE D'ITALIE"
"214","PORTE D'IVRY"
"215","PORTE DOREE"
"216","PORTE D'ORLEANS"
"217","PRE SAINT-GERVAIS"
"218","PYRAMIDES"
"219","PYRENEES"
"220","QUAI DE LA GARE"
"221","QUAI DE LA RAPEE"
"222","QUATRE SEPTEMBRE"
"223","BIBLIOTHEQUE FRANCOIS MITTERRAND"
"224","RAMBUTEAU"
"225","RANELAGH"
"226","RASPAIL"
"227","REAUMUR-SEBASTOPOL"
"228","RENNES"
"229","REPUBLIQUE"
"230","REUILLY-DIDEROT"
"231","RICHARD LENOIR"
"232","RICHELIEU-DROUOT"
"233","RIQUET"
"234","BILLANCOURT"
"235","ROBESPIERRE"
"236","ROME"
"237","BIR-HAKEIM (GRENELLE)"
"238","RUE DE LA POMPE (AVENUE GEORGES MANDEL)"
"239","RUE DU BAC"
"240","GRANDS BOULEVARDS (RUE MONTMARTRE)"
"241","SAINT-AMBROISE"
"242","SAINT-AUGUSTIN"
"243","BLANCHE"
"244","BASILIQUE DE SAINT-DENIS"
"245","SAINT-DENIS-PORTE DE PARIS"
"246","SAINT-DENIS-UNIVERSITE"
"247","SAINT-FARGEAU"
"248","SAINT-FRANCOIS-XAVIER"
"249","SAINT-GEORGES"
"250","SAINT-GERMAIN-DES-PRES"
"251","SAINT-JACQUES"
"252","SAINT-LAZARE"
"253","SAINT-MANDE-TOURELLE"
"254","SAINT-MARCEL"
"255","SAINT-MAUR"
"256","SAINT-MICHEL"
"257","SAINT-PAUL (LE MARAIS)"
"258","SAINT-PHILIPPE-DU-ROULE"
"259","SAINT-PLACIDE"
"260","SAINT-SEBASTIEN FROISSART"
"261","SAINT-SULPICE"
"262","BOBIGNY-PABLO PICASSO"
"263","SEGUR"
"264","SENTIER"
"265","SEVRES-BABYLONE"
"266","BOBIGNY-PANTIN (RAYMOND QUENEAU)"
"267","SEVRES-LECOURBE"
"268","SIMPLON"
"269","SOLFERINO"
"270","STALINGRAD"
"271","STRASBOURG-SAINT-DENIS"
"272","BOISSIERE"
"273","SULLY-MORLAND"
"274","TELEGRAPHE"
"275","TEMPLE"
"276","TERNES"
"277","TOLBIAC"
"278","TRINITE-D'ESTIENNE D'ORVES"
"279","TROCADERO"
"280","TUILERIES"
"281","VANEAU"
"282","VARENNE"
"283","VAUGIRARD (ADOLPHE CHERIOU)"
"284","VAVIN"
"285","BOLIVAR"
"286","VICTOR HUGO"
"287","VILLEJUIF-LEO LAGRANGE"
"288","VILLEJUIF-LOUIS ARAGON"
"289","VILLEJUIF-PAUL VAILLANT-COUTURIER"
"290","BONNE NOUVELLE"
"291","VILLIERS"
"292","VOLONTAIRES"
"293","VOLTAIRE (LEON BLUM)"
"294","WAGRAM"
"295","BOTZARIS"
"296","BOUCICAUT"
"297","RUE DES BOULETS"
"298","BOULOGNE-JEAN JAURES"
"299","BOURAY"
"300","BRETIGNY"
"301","BREUILLET-BRUYERES-LE-CHATEL"
"302","BREUILLET-VILLAGE"
"303","CHAMARANDE"
"304","CHAMP DE MARS-TOUR EIFFEL"
"305","CHAVILLE-VELIZY"
"306","CHEMIN D'ANTONY"
"307","CHILLY-MAZARIN"
"308","CHOISY-LE-ROI"
"309","DOURDAN"
"310","EGLY"
"311","EPINAY-SUR-ORGE"
"312","EPINAY-SUR-SEINE"
"313","ARPAJON"
"314","ETAMPES"
"315","ETRECHY"
"316","ABLON"
"317","ATHIS-MONS"
"318","GARE DE GENNEVILLIERS"
"319","GRAVIGNY-BALIZY"
"320","IGNY"
"321","ISSY"
"322","ISSY-VAL DE SEINE"
"323","IVRY-SUR-SEINE"
"324","JOUY-EN-JOSAS"
"325","JUVISY"
"326","AVENUE DU PRESIDENT KENNEDY"
"327","LA NORVILLE-SAINT-GERMAIN-LES-ARPAJON"
"328","AVENUE FOCH"
"329","AVENUE HENRI MARTIN"
"330","LARDY"
"331","LES ARDOINES"
"332","LES GRESILLONS"
"333","LES SAULES"
"334","LONGJUMEAU"
"335","MAROLLES-EN-HUREPOIX"
"336","MASSY-PALAISEAU"
"337","MASSY-VERRIERES"
"338","MEUDON-VAL-FLEURY"
"339","BOULEVARD VICTOR"
"340","MUSEE D'ORSAY"
"341","ORLY VILLE"
"342","PETIT-JOUY-LES-LOGES"
"343","PETIT-VAUX"
"344","PONT DE L'ALMA"
"345","PONT DE RUNGIS"
"346","PORCHEFONTAINE"
"347","PORTE-DE-CLICHY"
"348","BIEVRES"
"349","FRATERNELLE"
"350","SAVIGNY-SUR-ORGE"
"351","SERMAISE"
"352","SAINT-CHERON"
"353","SAINTE-GENEVIEVE-DES-BOIS"
"354","SAINT-GRATIEN"
"355","SAINT-MARTIN-D'ETAMPES"
"356","SAINT-MICHEL NOTRE DAME"
"357","SAINT-MICHEL-SUR-ORGE"
"358","SAINT-OUEN"
"359","VAUBOYEN"
"360","VERSAILLES CHATEAU"
"361","VILLENEUVE-LE-ROI"
"362","VITRY-SUR-SEINE"
"363","BOULAINVILLIERS"
"364","BOUSSY-SAINT-ANTOINE"
"365","BOUTIGNY-SUR-ESSONNE"
"366","BRUNOY"
"367","CRETEIL POMP"
"368","BUNO-GIRONVILLE"
"369","CESSON"
"370","COMBS-LA-VILLE-QUINCY"
"371","CORBEIL-ESSONNES"
"372","COUDRAY-MONTCEAUX"
"373","ESSONNES-ROBINSON"
"374","EVRY"
"375","EVRY-COURCOURONNES"
"376","GARGES-SARCELLES"
"377","GOUSSAINVILLE"
"378","GRAND-BOURG"
"379","GRIGNY-CENTRE"
"380","LA FERTE-ALAIS"
"381","LE BRAS-DE-FER"
"382","LE MEE"
"383","LE VERT-DE-MAISONS"
"384","LES NOUES"
"385","LIEUSAINT-MOISSY"
"386","BALLANCOURT"
"387","LOUVRES"
"388","MAISONS-ALFORT-ALFORTVILLE"
"389","MAISSE"
"390","MELUN"
"391","MENNECY"
"392","MONTGERON-CROSNE"
"393","MOULIN-GALANT"
"394","ORANGIS-BOIS DE L'EPINE"
"395","PIERREFITTE-STAINS"
"396","PONTHIERRY-PRINGY"
"397","RIS-ORANGIS"
"398","SAVIGNY-LE-TEMPLE-NANDY"
"399","STADE DE FRANCE-SAINT-DENIS"
"400","BOIGNEVILLE"
"401","SURVILLIERS-FOSSES"
"402","BOISSISE-LE-ROI"
"403","VIGNEUX-SUR-SEINE"
"404","VILLABE"
"405","VILLENEUVE-SAINT-GEORGES"
"406","VILLENEUVE-TRIAGE"
"407","VILLIERS-LE-BEL-GONESSE-ARNOUVILLE"
"408","VIRY-CHATILLON"
"409","YERRES"
"410","CHELLES-GOURNAY"
"411","CHENAY-GAGNY"
"412","GAGNY"
"413","HAUSSMANN-SAINT-LAZARE"
"414","LE RAINCY-VILLEMOMBLE-MONTFERMEIL"
"415","LES BOULLEREAUX-CHAMPIGNY"
"416","MAGENTA"
"417","NOGENT-LE-PERREUX"
"418","NOISY-LE-SEC"
"419","PANTIN"
"420","ROSNY-BOIS-PERRIER"
"421","ROSNY-SOUS-BOIS"
"422","BONDY"
"423","VILLIERS-SUR-MARNE-PLESSIS-TREVISE"
"424","EMERAINVILLE-PONTAULT-COMBAULT"
"425","ROISSY-EN-BRIE"
"426","OZOIR-LA-FERRIERE"
"427","GRETZ-ARMAINVILLIERS"
"428","TOURNAN"
"429","LES YVRIS-NOISY-LE-GRAND"
"430","ALLEE DE LA TOUR RENDEZ-VOUS"
"431","FREINVILLE-SEVRAN"
"432","GARGAN"
"433","L'ABBAYE"
"434","LES COQUETIERS"
"435","LES PAVILLONS-SOUS-BOIS"
"436","ROUGEMONT-CHANTELOUP"
"437","LYCEE HENRI SELLIER"
"438","LA REMISE A JORELLE"
"439","CHAMPBENOIST-POIGNY"
"440","CHANGIS-SAINT-JEAN"
"441","COULOMMIERS"
"442","CRECY-EN-BRIE-LA-CHAPELLE"
"443","CROUY-SUR-OURCQ"
"444","ESBLY"
"445","FAREMOUTIERS-POMMEUSE"
"446","GUERARD-LA-CELLE-SUR-MORIN"
"447","ISLES-ARMENTIERES-CONGIS"
"448","LA FERTE-SOUS-JOUARRE"
"449","LAGNY-THORIGNY"
"450","LIZY-SUR-OURCQ"
"451","LONGUEVILLE"
"452","MARLES-EN-BRIE"
"453","MEAUX"
"454","MORTCERF"
"455","MOUROUX"
"456","NANGIS"
"457","NANTEUIL-SAACY"
"458","PROVINS"
"459","SAINTE-COLOMBE-SEPTVEILLES"
"460","TRILPORT"
"461","VAIRES-TORCY"
"462","VERNEUIL-L'ETANG"
"463","VILLIERS-MONTBARBIN"
"464","BOURRON-MARLOTTE-GREZ"
"465","CHAMPAGNE-SUR-SEINE"
"466","CHARTRETTES"
"467","FONTAINEBLEAU-AVON"
"468","FONTAINE-LE-PORT"
"469","HERICY"
"470","LA GRANDE PAROISSE"
"471","BAGNEUX-SUR-LOING"
"472","LIVRY-SUR-SEINE"
"473","MONTEREAU"
"474","MONTIGNY-SUR-LOING"
"475","NEMOURS-SAINT-PIERRE"
"476","SOUPPES"
"477","SAINT-MAMMES"
"478","BOIS-LE-ROI"
"479","THOMERY"
"480","MORET-VENEUX-LES-SABLONS"
"481","VERNOU-SUR-SEINE"
"482","CHAVILLE RIVE GAUCHE"
"483","ANGERVILLE"
"484","CLAMART"
"485","COIGNIERES"
"486","FONTENAY-LE-FLEURY"
"487","GARANCIERES-LA QUEUE"
"488","GAZERAN"
"489","HOUDAN"
"490","LA VERRIERE"
"491","LE PERRAY"
"492","LES-ESSARTS-LE-ROI"
"493","MAREIL-SUR-MAULDRE"
"494","MAULE"
"495","MEUDON"
"496","MONTFORT-L'AMAURY-MERE"
"497","NEZEL-AULNAY"
"498","ORGERUS-BEHOUST"
"499","BELLEVUE"
"500","PLAISIR-GRIGNON"
"501","PLAISIR-LES-CLAYES"
"502","BEYNES"
"503","RAMBOUILLET"
"504","SEVRES RIVE GAUCHE"
"505","SAINT-CYR"
"506","TACOIGNIERES-RICHEBOURG"
"507","TRAPPES"
"508","VANVES-MALAKOFF"
"509","VERSAILLES-CHANTIERS"
"510","VILLEPREUX-LES-CLAYES"
"511","VILLIERS-NEAUPHLE PONTCHARTRAIN"
"512","VIROFLAY RIVE GAUCHE"
"513","SAINT-QUENTIN-EN-YVELINES"
"514","BRUYERES-SUR-OISE"
"515","CERNAY"
"516","CHAMPAGNE-SUR-OISE"
"517","CHAMP DE COURSES D'ENGHIEN"
"518","CHAPONVAL"
"519","DAMMARTIN-JUILLY-SAINT-MARD"
"520","DEUIL-MONTMAGNY"
"521","DOMONT"
"522","ECOUEN-EZANVILLE"
"523","ENGHIEN-LES-BAINS"
"524","EPINAY-VILLETANEUSE"
"525","ERMONT-HALTE"
"526","ERMONT-EAUBONNE"
"527","FRANCONVILLE-LE-PLESSIS-BOUCHARD"
"528","FREPILLON"
"529","GROSLAY"
"530","GROS-NOYER-SAINT-PRIX"
"531","LA BARRE-ORMESSON"
"532","L'ISLE-ADAM-PARMAIN"
"533","LUZARCHES"
"534","MERIEL"
"535","MERY-VAL D'OISE"
"536","MONTIGNY-BEAUCHAMP"
"537","MONTSOULT-MAFFLIERS"
"538","NOINTEL-MOURS"
"539","BELLOY-SAINT-MARTIN"
"540","PERSAN-BEAUMONT"
"541","PIERRELAYE"
"542","PONTOISE"
"543","BESSANCOURT"
"544","PRESLES-COURCELLES"
"545","SARCELLES-SAINT-BRICE"
"546","SEUGY"
"547","SAINT-DENIS"
"548","SAINT-LEU-LA-FORET"
"549","SAINT-OUEN-L'AUMONE"
"550","TAVERNY"
"551","VALMONDOIS"
"552","VAUCELLES"
"553","VIARMES"
