"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD"
"01/01/2017",100,"110","120","BUTTES-CHAUMONT","71900","AUTRE TITRE","Moins de 5"
"01/01/2017",100,"110","149","CHARDON-LAGACHE","71141","AUTRE TITRE","Moins de 5"
