"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD"
"01/07/2017",100,"110","120","BUTTES-CHAUMONT",71900,"AUTRE TITRE",5
"01/07/2017",100,"110","251","EGLISE D'AUTEUIL",71166,"AMETHYSTE",5
