"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","lda","CATEGORIE_TITRE","NB_VALD"
"2023-06-26",800,"853","595","NOINTEL MOURS",67227,"NAVIGO JOUR",5
"2023-06-26",800,"853","870","VALMONDOIS",67107,"NON DEFINI",5
