"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD"
"01/01/2021",100,"110","1","PORTE MAILLOT",71379,"NAVIGO JOUR",5
"01/01/2021",100,"110","100","BOULOGNE-PONT DE SAINT CLOUD",70721,"NAVIGO JOUR",5
