"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD"
"01/07/2021",100,"110","107","BREGUET-SABIN",73621,"NAVIGO JOUR",5
"01/07/2021",100,"110","124","CAMPO-FORMIO",71063,"NAVIGO JOUR",5
