"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD"
"01/07/2018",100,"110","100","BOULOGNE-PONT DE SAINT CLOUD",70721,"NAVIGO JOUR",5
"01/07/2018",100,"110","1007","LES AGNETTES-ASNIERES-GENNEVILLIERS",72240,"NAVIGO JOUR",5
