"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","lda","CATEGORIE_TITRE","NB_VALD"
"01/07/2022",100,"110","100","BOULOGNE-ST.CL",70721,"IMAGINE R",5
"01/07/2022",100,"110","149","CHARDON-LAGACH",71141,"TST",5
